[2015-12-03T14:15:28Z]	arcontrol_cli M1625	[1]
[2015-12-03T14:43:03Z]	arcontrol_cli M1614	[0]
[2015-12-03T14:43:03Z]	arcontrol_cli M1615	[0]
[2015-12-03T14:43:04Z]	arcontrol_cli M1602	[5C1200008000177000F78A505A00F02E]
[2015-12-03T14:43:04Z]	arcontrol_cli M1608	[filament]
[2015-12-03T14:43:04Z]	arcontrol_cli M1603	[5C1200E572001731813AA05A6401A873]
[2015-12-03T14:43:04Z]	arcontrol_cli M1609	[filament]
[2015-12-03T14:43:19Z]	arcontrol_cli G91	[]
[2015-12-03T14:43:19Z]	arcontrol_cli G1\ Y-10\ F1800	[]
[2015-12-03T14:43:19Z]	arcontrol_cli G90	[]
[2015-12-03T14:52:17Z]	arcontrol_cli M1602	[5C1200008000177000F78A505A00F02E]
[2015-12-03T14:52:17Z]	arcontrol_cli M1603	[5C1200E572001731813AA05A6401A873]
[2015-12-03T14:53:21Z]	arcontrol_cli M1602	[5C1200008000177000F78A505A00F02E]
[2015-12-03T14:53:21Z]	arcontrol_cli M1608	[filament]
[2015-12-03T14:54:26Z]	arcontrol_cli M1602	[5C1200008000177000F78A505A00F02E]
[2015-12-03T14:54:26Z]	arcontrol_cli M1608	[filament]
[2015-12-03T14:54:26Z]	arcontrol_cli M1603	[5C1200E572001731813AA05A6401A873]
[2015-12-03T14:54:26Z]	arcontrol_cli M1609	[filament]
[2015-12-03T14:54:26Z]	arcontrol_cli M1609	[filament]
[2015-12-03T14:54:36Z]	arcontrol_cli M1663\ \ R100\ L100	[R: 100; L: 100]
[2015-12-03T14:54:36Z]	arcontrol_cli M1614	[0]
[2015-12-03T14:54:36Z]	arcontrol_cli M1615	[0]
[2015-12-03T14:54:38Z]	arcontrol_cli M1602	[5C1200008000177000F78A505A00F02E]
[2015-12-03T14:54:38Z]	arcontrol_cli M1608	[filament]
[2015-12-03T14:55:42Z]	sudo nice -n -10 arcontrol_cli -0 pla -f /tmp/_sliced_model.gcode.new	[]
[2015-12-03T14:55:42Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:55:42Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:55:42Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:55:43Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:55:58Z]	arcontrol_cli M1402	[TEMP 1:33.2 - TEMP 2:24.8]
[2015-12-03T14:56:03Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:03Z]	arcontrol_cli M1402	[TEMP 1:37.2 - TEMP 2:24.6]
[2015-12-03T14:56:08Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:08Z]	arcontrol_cli M1402	[TEMP 1:42.4 - TEMP 2:24.6]
[2015-12-03T14:56:13Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:13Z]	arcontrol_cli M1402	[TEMP 1:48.0 - TEMP 2:24.8]
[2015-12-03T14:56:18Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:18Z]	arcontrol_cli M1402	[TEMP 1:53.5 - TEMP 2:24.8]
[2015-12-03T14:56:23Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:23Z]	arcontrol_cli M1402	[TEMP 1:59.3 - TEMP 2:24.7]
[2015-12-03T14:56:28Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:28Z]	arcontrol_cli M1402	[TEMP 1:64.8 - TEMP 2:24.8]
[2015-12-03T14:56:33Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:33Z]	arcontrol_cli M1402	[TEMP 1:70.4 - TEMP 2:24.9]
[2015-12-03T14:56:38Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:56:38Z]	arcontrol_cli M1402	[TEMP 1:75.5 - TEMP 2:25.0]
[2015-12-03T14:56:43Z]	arcontrol_cli M1600	[1]
